PLAYER,YEAR,POS,NO SHOES,WITH SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE,3/4 SPRINT,STD VERT,MAX VERT,BENCH,BODY FAT %,HAND L,HAND W
Georges Niang,2016,BIG,78.75,80.50,103.0,230.8,82.00,3.25,3.17,3.49,25.0,31.0,,10.1%,9.25,9.25
Gerald Green,2005,WING,78.00,79.25,104.0,192.0,81.75,3.75,,3.21,31.5,39.0,7,,,
Gerald Henderson,2009,WING,76.00,77.00,102.5,214.6,82.25,6.25,,3.14,31.5,35.0,8,4.4%,,
Gerry McNamara,2006,COMBO G,71.75,72.50,92.5,177.0,72.75,1.00,,3.40,27.0,32.0,3,12.8%,,
Gilbert Arenas,2001,WING,74.25,,99.5,199.0,81.50,7.25,,3.25,31.5,36.0,12,5.3%,,
Glen Rice,2013,WING,76.50,77.75,101.5,210.8,81.25,4.75,3.08,3.25,33.0,40.5,10,8.5%,8.50,9.00
Glenn Robinson III,2014,WING,77.50,78.75,100.5,211.4,82.00,4.50,3.04,3.15,36.5,41.5,,5.1%,9.00,9.50
Gordon Hayward,2010,WING,78.75,80.00,103.0,211.0,79.75,1.00,,3.22,30.5,34.5,10,6.9%,8.50,9.25
Gorgui Dieng,2013,BIG,81.75,82.75,111.5,229.6,87.50,5.75,,,,,,5.4%,9.00,10.00
Grant Jerrett,2013,BIG,80.75,82.25,109.0,232.0,86.00,5.25,3.23,3.51,28.5,34.0,2,10.1%,8.50,9.25
Grant Williams,2019,COMBO F,77.75,79.50,104.5,240.2,81.75,4.00,3.27,3.33,26.0,31.5,20,5.4%,9.00,10.50
Grayson Allen,2018,WING,75.00,76.50,97.0,198.0,79.25,4.25,3.04,3.15,32.5,40.5,,5.6%,8.25,10.00
Greg Harrington,2002,PG,73.00,,97.0,183.0,75.75,2.75,,3.32,28.5,34.0,15,,,
Greg Monroe,2010,BIG,81.75,83.00,108.5,246.6,86.25,4.50,,3.35,25.0,29.0,15,11.2%,8.75,9.50
Greg Oden,2007,BIG,83.00,84.00,112.0,257.0,88.25,5.25,,3.27,32.0,34.0,,7.8%,,
Greg Stevenson,2001,WING,75.75,,102.0,215.0,84.50,8.75,,3.23,30.0,35.5,15,7.3%,,
Gregory Smith,2011,BIG,80.00,81.25,106.5,252.8,86.50,6.50,,3.36,29.5,36.0,17,7.4%,9.75,12.00
Greivis Vasquez,2010,COMBO G,77.00,78.50,101.0,210.8,79.00,2.00,,,,,,8.6%,7.75,9.25
Gyasi Cline-Heard,2001,BIG,78.25,,103.0,231.0,83.50,5.25,,3.23,31.5,34.5,11,8.0%,,
Hakim Warrick,2005,COMBO F,79.25,80.50,108.0,215.0,86.00,6.75,,3.22,33.0,38.0,11,,,
Hamidou Diallo,2018,WING,76.25,78.00,103.0,197.0,83.50,7.25,3.14,3.10,32.5,40.5,,4.5%,8.75,9.00
Harold Arceneaux,2000,WING,76.50,,103.0,219.0,80.50,4.00,,,,29.0,0,,,
Harrison Barnes,2012,WING,79.00,80.00,101.5,227.8,83.25,4.25,,3.16,38.0,39.5,15,9.6%,9.00,8.50
Harry Giles,2017,BIG,81.25,82.50,109.5,232.0,87.25,6.00,3.00,3.34,27.0,32.5,,5.2%,9.50,10.75
Hasheem Thabeet,2009,BIG,85.25,86.50,113.0,267.2,90.25,5.00,,,,,,6.7%,,
Hassan Whiteside,2010,BIG,82.50,83.50,113.0,226.6,91.00,8.50,,3.54,27.0,31.5,12,5.5%,8.25,10.25
Henry Ellenson,2016,BIG,82.00,83.50,108.0,242.0,86.25,4.25,,,,,,11.2%,8.50,9.75
Henry Sims,2012,BIG,82.00,83.75,108.0,241.2,88.00,6.00,,3.44,26.5,29.5,7,7.7%,9.25,10.00
Herbert Hill,2007,BIG,79.00,81.75,108.5,232.0,86.25,7.25,,3.39,30.5,34.0,15,5.6%,,
Herve Lamizana,2004,COMBO F,79.50,80.50,107.0,210.0,85.50,6.00,,,,,,6.7%,,
Hilton Armstrong,2006,BIG,81.50,82.25,109.0,240.0,88.00,6.50,,3.53,28.5,31.5,13,6.3%,,
Hollis Price,2003,COMBO G,71.50,,94.5,165.0,76.50,5.00,,3.25,27.5,33.0,1,7.3%,,
Hollis Thompson,2012,WING,78.75,80.00,102.5,206.0,81.50,2.75,,3.38,28.5,36.5,6,6.0%,8.25,9.75
Horace Jenkins,2001,PG,71.75,,97.0,171.0,77.25,5.50,,3.10,34.5,41.0,2,6.0%,,
Ian Vouyoukas,2006,BIG,80.50,81.50,108.5,267.0,84.75,4.25,,3.72,23.0,28.0,8,14.8%,,
Ignas Brazdeikis,2019,WING,77.75,79.25,102.0,220.8,81.25,3.50,3.17,3.36,31.0,36.5,13,6.0%,8.75,9.50
Igor Rakocevic,2000,PG,74.50,,100.0,184.0,77.25,2.75,,3.10,27.5,34.0,9,,,
Ike Anigbogu,2017,BIG,80.50,81.75,110.5,252.2,90.25,9.75,3.48,3.44,29.5,32.5,,5.4%,9.50,10.00
Ike Diogu,2005,BIG,78.50,80.00,109.0,255.4,87.50,9.00,,3.45,28.0,31.0,21,,,
Iman Shumpert,2011,COMBO G,76.25,77.50,99.5,221.8,81.50,5.25,,3.18,36.5,42.0,18,6.5%,9.00,9.00
Immanuel McElroy,2002,WING,74.25,,100.0,191.0,78.50,4.25,,,,,9,,,
Isaac Haas,2018,BIG,85.25,86.75,111.5,303.0,89.00,3.75,,,,,,12.6%,10.00,10.50
Isaiah Austin,2014,BIG,83.50,84.50,112.5,219.5,88.50,5.00,3.18,3.55,26.5,29.5,,7.5%,8.75,8.75
Isaiah Briscoe,2017,PG,73.25,74.75,99.5,222.4,81.00,7.75,2.85,3.38,28.0,33.5,,11.0%,9.00,9.25
Isaiah Canaan,2013,PG,71.00,72.00,94.5,188.4,76.50,5.50,2.89,3.22,33.0,40.5,16,5.9%,8.25,9.50
Isaiah Cousins,2016,PG,75.25,76.50,98.5,194.0,78.25,3.00,2.97,3.24,30.5,37.0,,4.8%,8.25,8.75
Isaiah Hicks,2017,BIG,79.25,80.50,105.0,233.4,84.50,5.25,3.31,3.36,31.5,37.0,,7.7%,8.75,9.75
Isaiah Miles,2016,BIG,78.75,79.75,105.0,219.6,82.50,3.75,3.25,3.39,24.0,31.5,,9.6%,9.00,9.50
Isaiah Roby,2019,BIG,79.25,80.50,106.0,214.0,85.00,5.75,3.05,3.25,32.5,35.5,9,3.9%,9.00,10.50
Isaiah Thomas,2011,PG,68.75,70.25,91.5,186.0,73.75,5.00,,3.14,31.5,40.0,13,6.7%,8.25,9.00
Isaiah Whitehead,2016,COMBO G,75.25,76.50,100.0,210.0,80.75,5.50,3.21,3.34,27.5,35.5,,9.3%,8.50,8.75
Israel Sheinfeld,2002,BIG,80.25,,106.5,239.0,81.75,1.50,,,,,8,,,
Ivan Koljevic,2004,PG,73.00,74.00,95.0,172.0,74.50,1.50,,3.28,26.0,28.5,4,6.7%,,
Ivan McFarlin,2005,BIG,77.50,78.75,105.5,228.6,81.00,3.50,,3.27,26.5,32.0,10,,,
Ivan Rabb,2017,BIG,80.75,82.00,109.0,219.6,85.50,4.75,3.23,3.35,28.5,32.5,,6.8%,8.75,9.00
Ivan Radenovic,2007,BIG,81.00,82.75,106.0,226.0,83.75,2.75,,3.60,23.0,28.0,7,9.8%,,
J.P. Batista,2006,BIG,79.50,80.50,103.5,265.0,82.00,2.50,,3.38,26.0,30.5,26,12.0%,,
J.P. Tokoto,2015,WING,77.25,78.25,100.5,195.8,82.00,4.75,3.20,3.27,34.5,40.0,12,4.1%,8.00,8.75
J.R. Bremer,2002,COMBO G,73.25,,96.0,188.0,74.25,1.00,,3.10,30.0,35.5,24,,,
J.R. Giddens,2008,WING,76.00,76.75,103.0,208.0,83.25,7.25,,,,,10,5.4%,,
J.R. Smith,2004,WING,77.50,78.75,104.0,227.0,82.00,4.50,,3.21,29.0,35.5,5,6.7%,,
J'Covan Brown,2012,PG,73.00,74.25,96.0,202.4,77.25,4.25,,3.47,26.0,29.5,3,12.5%,7.75,8.25
Jabari Brown,2014,WING,75.00,76.25,100.0,201.9,80.25,5.25,3.26,3.50,28.0,32.0,,6.1%,9.00,9.25
Jabari Smith,2000,BIG,81.75,,109.5,240.5,86.50,4.75,,3.43,24.5,30.0,15,,,
Jack McClinton,2009,COMBO G,71.75,72.75,96.0,185.2,74.50,2.75,,3.21,30.0,36.5,13,6.2%,,
Jackie Butler,2004,BIG,80.00,81.50,109.0,263.0,85.50,5.50,,3.40,23.0,25.0,14,16.3%,,
Jackie Carmichael,2013,BIG,79.50,81.00,107.0,241.2,85.50,6.00,3.07,3.35,30.0,32.0,13,5.8%,9.00,10.25
Jackson Vroman,2004,BIG,81.25,82.75,105.5,226.0,84.00,2.75,,3.25,29.5,33.5,12,6.7%,,
Jacob Evans,2018,WING,76.25,77.50,102.5,199.6,81.25,5.00,3.13,3.20,28.0,35.5,,6.5%,9.00,9.25
Jacob Jaacks,2000,BIG,81.25,,105.5,238.0,83.00,1.75,,3.58,26.0,32.0,3,,,
Jae Crowder,2012,WING,76.75,78.50,99.5,241.2,81.25,4.50,,3.37,31.0,34.5,20,9.0%,9.50,10.50
Jahii Carson,2014,PG,69.75,71.00,93.0,179.6,74.00,4.25,3.24,3.24,33.5,43.5,,6.5%,7.50,8.75
Jaime Lloreda,2004,BIG,78.75,80.50,107.0,247.0,81.50,2.75,,3.23,25.5,29.5,6,9.9%,,
JaJuan Johnson,2011,BIG,81.00,82.00,107.5,219.8,86.00,5.00,,3.14,33.5,38.0,15,7.5%,9.00,10.00
Jake Layman,2016,WING,80.00,81.25,102.0,208.6,81.25,1.25,2.82,3.24,33.0,39.5,,7.1%,8.25,9.25
Jakob Poeltl,2016,BIG,84.25,85.00,111.5,239.0,86.75,2.50,,,,,,5.8%,9.25,10.25
Jalen Brunson,2018,PG,73.00,74.25,96.0,198.4,76.00,3.00,3.10,3.15,29.0,37.0,,6.7%,8.25,9.25
Jalen Hoard,2019,WING,79.25,81.00,105.5,212.6,84.75,5.50,3.32,3.34,27.5,35.5,8,6.7%,8.75,9.75
Jalen Lecque,2019,PG,74.50,76.25,98.5,185.2,80.50,6.00,3.30,3.29,35.0,43.0,1,4.0%,8.75,8.50
Jalen McDaniels,2019,COMBO F,80.25,81.75,105.5,191.6,84.25,4.00,3.23,3.32,29.5,33.5,0,5.7%,9.00,10.00
Jamaal Franklin,2013,WING,76.00,77.25,103.5,190.8,83.25,7.25,,,,,,8.3%,8.50,8.25
Jamaal Tatum,2007,PG,71.50,72.75,93.5,168.0,74.50,3.00,,3.22,28.5,33.0,7,5.0%,,
Jamaal Tinsley,2001,PG,72.75,,97.5,199.0,79.50,6.75,,3.20,28.0,37.5,1,13.6%,,
Jamal Crawford,2000,COMBO G,76.50,,102.5,175.0,82.00,5.50,,,,,0,,,
Jamar Butler,2008,PG,72.25,73.50,97.0,182.0,76.75,4.50,,,,,15,6.0%,,
Jamario Moon,2001,WING,78.50,,103.0,185.0,83.50,5.00,,3.08,33.0,43.0,0,5.3%,,
Jameel Watkins,2000,BIG,81.50,,110.0,244.5,90.00,8.50,,3.45,28.0,30.5,11,,,
Jameer Nelson,2004,PG,71.00,72.50,95.0,199.0,74.50,3.50,,3.14,28.5,33.5,15,8.0%,,
Jamel Artis,2017,WING,77.50,78.75,105.0,213.2,82.00,4.50,3.08,3.44,23.5,31.0,,11.9%,9.25,9.75
James Anderson,2010,WING,76.75,77.75,104.0,207.6,80.50,3.75,,3.19,30.0,35.5,14,7.9%,8.50,7.25
James Augustine,2006,BIG,80.25,81.75,104.0,227.0,84.25,4.00,,3.25,30.0,32.5,13,5.5%,,
James Ennis,2013,WING,77.75,79.00,104.5,200.8,83.50,5.75,3.06,3.40,29.5,36.5,7,4.5%,8.50,8.75
James Fredette,2011,PG,72.75,74.50,96.5,196.0,76.50,3.75,,3.21,28.0,33.0,14,7.7%,8.00,8.50
James Gist,2008,BIG,79.00,80.50,107.5,220.0,88.00,9.00,,3.14,30.5,35.0,5,4.8%,,
James Harden,2009,WING,76.00,77.25,103.5,222.0,82.75,6.75,,3.13,31.5,37.0,17,10.1%,,
James Hughes,2007,BIG,81.00,82.75,111.0,209.0,87.00,6.00,,3.37,31.0,33.0,8,3.5%,,
James Johnson,2009,COMBO F,79.00,79.75,105.5,257.2,84.75,5.75,,3.23,30.5,35.0,18,12.0%,,
James Jones,2003,WING,79.25,,107.5,218.0,86.50,7.25,,3.19,30.5,33.0,9,6.7%,,
James Lang,2003,BIG,80.25,,110.0,316.0,90.25,10.00,,3.55,24.5,32.0,8,21.4%,,
James Mays,2008,BIG,78.75,79.75,105.0,227.0,85.75,7.00,,3.19,29.5,35.0,13,8.8%,,
James McAdoo,2014,BIG,79.50,80.75,106.5,227.6,86.25,6.75,2.91,3.28,29.5,34.0,,6.2%,9.25,9.00
James Moore,2004,COMBO F,78.50,80.00,107.0,198.0,84.50,6.00,,3.21,28.5,32.5,,8.0%,,
James Southerland,2013,COMBO F,79.00,80.00,106.0,220.6,85.00,6.00,3.03,3.38,29.0,32.0,5,8.1%,8.00,9.50
James Young,2014,WING,77.25,78.75,104.0,213.3,84.00,6.75,,,28.0,35.5,,5.1%,9.00,9.50
Jamie Skeen,2011,BIG,78.50,80.00,106.5,241.6,85.25,6.75,,3.46,26.0,30.5,10,9.8%,8.50,8.50
Jamison Brewer,2001,PG,74.50,,102.5,178.0,80.75,6.25,,3.15,26.0,32.5,12,6.7%,,
JaMychal Green,2012,BIG,80.00,81.00,106.5,217.4,86.25,6.25,,3.38,29.5,32.5,19,9.8%,9.25,9.25
Jannero Pargo,2002,PG,72.25,,96.0,168.0,74.50,2.25,,3.20,25.5,29.5,5,,,
Jaquay Walls,2000,PG,73.25,,96.5,165.5,74.50,1.25,,3.23,28.5,35.5,0,,,
Jared Cunningham,2012,COMBO G,75.50,77.00,98.0,187.6,78.50,3.00,,,,,4,3.6%,8.25,9.00
Jared Dudley,2007,WING,77.00,79.25,102.0,219.0,79.00,2.00,,3.45,28.0,32.0,14,7.1%,,
Jared Harper,2019,PG,69.75,71.00,95.0,169.2,77.50,7.75,3.02,3.04,33.5,40.5,8,3.9%,8.25,9.50
Jared Homan,2005,BIG,79.75,80.75,104.5,248.2,85.25,5.50,,,,,16,,,
Jared Jeffries,2002,BIG,82.00,,109.0,230.0,84.50,2.50,,3.40,26.0,30.0,9,,,
Jared Jordan,2007,PG,72.00,73.75,94.0,183.0,72.00,0.00,,3.39,24.5,28.5,6,7.0%,,
Jared Reiner,2004,BIG,82.00,83.75,109.0,246.0,84.50,2.50,,3.56,22.0,26.0,15,12.9%,,
Jared Sullinger,2012,BIG,79.75,81.00,105.5,268.2,85.25,5.50,,3.81,29.5,31.0,9,10.7%,9.25,9.75
Jarell Martin,2015,BIG,80.00,81.25,106.5,238.6,81.00,1.00,2.97,3.27,28.5,35.0,19,10.1%,8.25,9.50
Jaren Jackson,2018,BIG,81.75,83.25,110.0,236.0,89.25,7.50,,,,,,7.2%,10.00,10.00
Jarnell Stokes,2014,BIG,79.00,80.50,103.5,262.8,85.25,6.25,3.20,3.26,31.0,36.0,,8.2%,9.75,10.50
Jaron Blossomgame,2017,WING,78.25,79.25,102.0,213.6,82.00,3.75,3.26,3.20,35.0,41.0,,5.3%,8.50,10.00
Jarrett Allen,2017,BIG,81.00,82.25,109.5,233.6,89.25,8.25,3.00,3.21,31.5,35.5,,7.4%,9.50,10.50
Jarrett Culver,2019,COMBO G,77.25,78.75,100.5,194.2,81.50,4.25,,,,,,5.0%,8.25,8.50
Jarrett Jack,2005,PG,74.50,75.50,100.0,197.6,79.50,5.00,,3.24,26.0,28.5,5,,,
Jarrett Stephens,2000,BIG,77.25,,103.0,258.0,81.25,4.00,,3.46,27.0,29.0,13,,,
Jarrod Uthoff,2016,BIG,80.50,81.75,104.0,214.4,83.50,3.00,3.03,3.50,29.0,34.5,,6.0%,8.75,9.00
Jarron Collins,2001,BIG,81.25,,104.0,252.0,87.00,5.75,,3.60,23.0,29.0,10,15.2%,,
Jarvis Varnado,2010,BIG,80.25,82.00,109.5,210.2,87.50,7.25,,3.37,29.5,32.5,3,9.5%,9.25,9.50
Jason Collins,2001,BIG,82.25,,110.0,251.0,88.50,6.25,,3.54,25.5,28.5,8,12.9%,,
Jason Gardner,2003,PG,69.75,,92.5,188.0,73.25,3.50,,2.92,34.5,40.0,9,8.0%,,
Jason Hart,2000,PG,73.75,,97.5,181.0,78.00,4.25,,3.34,29.5,33.5,9,,,
Jason Jennings,2002,BIG,83.25,,111.0,249.0,91.00,7.75,,3.62,29.0,32.0,8,,,
Jason Kapono,2003,WING,78.50,,102.0,215.0,78.50,0.00,,3.38,23.5,30.0,8,11.7%,,
Jason Keep,2003,BIG,81.75,,106.5,270.0,84.50,2.75,,3.30,29.5,34.0,27,8.6%,,
Jason Klotz,2005,BIG,80.50,81.75,107.5,249.4,82.00,1.50,,3.68,21.5,27.0,12,,,
Jason Maxiell,2005,BIG,77.00,78.25,107.0,257.6,87.25,10.25,,,,,,,,
Jason Richardson,2001,WING,76.75,,102.5,213.0,83.50,6.75,,3.12,32.5,39.5,15,5.3%,,
Jason Smith,2007,BIG,82.75,83.50,106.0,233.0,82.75,0.00,,3.29,33.5,37.5,15,7.5%,,
JaVale McGee,2008,BIG,83.00,84.00,114.5,241.0,90.00,7.00,,3.25,27.0,32.5,7,5.3%,,
Javaris Crittenton,2007,PG,75.00,76.75,98.0,194.0,77.50,2.50,,3.32,32.5,38.0,11,4.5%,,
Jawad Williams,2005,WING,79.00,80.00,106.5,218.0,85.25,6.25,,3.23,28.0,34.0,15,,,
Jawun Evans,2017,PG,70.75,71.50,95.0,185.2,77.50,6.75,3.26,3.21,27.5,33.5,,9.1%,8.00,7.75
Jaxson Hayes,2019,BIG,82.25,83.50,110.5,218.6,87.50,5.25,3.23,3.37,27.0,34.5,5,5.0%,9.25,10.50
Jay Williams,2002,PG,72.25,,97.0,197.0,75.50,3.25,,3.09,28.5,36.0,10,,,
Jaylen Barford,2018,COMBO G,73.25,74.25,96.6,207.6,75.50,2.25,3.20,3.31,27.0,33.0,,11.7%,8.00,8.25
Jaylen Brown,2016,WING,77.25,78.75,102.5,222.8,83.75,6.50,,,,,,5.1%,8.75,9.00
Jaylen Hands,2019,PG,73.50,75.00,97.0,180.4,77.50,4.00,3.03,3.12,33.0,41.5,6,5.1%,8.00,8.25
Jaylen Hands 18,2018,PG,73.50,74.75,98.0,179.0,77.50,4.00,3.15,3.13,31.5,39.5,,5.0%,8.00,8.00
Jaylen Nowell,2019,COMBO G,75.25,76.25,98.0,202.4,79.25,4.00,3.13,3.23,32.0,38.5,2,6.1%,8.25,8.50
Jeff Adrien,2009,BIG,77.25,78.50,107.5,236.2,86.00,8.75,,3.32,27.5,31.5,16,7.9%,,
Jeff Ayres,2009,BIG,80.75,82.00,107.0,239.6,85.00,4.25,,3.14,31.0,35.0,15,5.5%,,
Jeff Green,2007,WING,79.00,81.50,103.0,228.0,85.25,6.25,,3.34,33.5,38.0,17,3.7%,,
Jeff Newton,2003,BIG,80.00,,106.0,199.0,85.00,5.00,,3.23,27.5,34.0,9,5.3%,,
Jeff Taylor,2012,WING,78.00,79.25,101.5,212.8,78.25,0.25,,3.29,33.5,40.0,15,4.2%,8.25,9.75
Jeff Teague,2009,PG,72.25,73.50,98.5,175.2,79.50,7.25,,3.18,30.5,36.5,13,4.5%,,
Jeff Withey,2013,BIG,82.75,84.50,110.5,221.8,86.00,3.25,3.29,3.47,26.5,29.0,10,8.7%,9.00,9.75
Jerami Grant,2014,WING,78.50,79.75,107.0,214.0,86.75,8.25,,,,,,3.8%,9.25,9.25
Jerel McNeal,2009,WING,73.50,75.00,99.5,190.4,79.25,5.75,,3.25,31.5,36.5,10,5.4%,,
Jereme Richmond,2011,WING,78.00,79.25,106.5,207.2,82.25,4.25,,3.02,27.0,33.5,0,5.5%,8.75,9.50
Jeremy Hunt,2007,WING,74.00,76.75,101.5,198.0,80.25,6.25,,3.29,30.5,33.0,10,5.2%,,
Jeremy Lamb,2012,WING,76.00,77.25,102.0,179.2,83.00,7.00,,3.25,31.5,38.0,5,4.5%,8.75,9.25
Jeremy Pargo,2008,PG,72.50,73.50,96.0,208.0,77.00,4.50,,3.07,32.0,37.0,7,7.6%,,
Jeremy Tyler,2011,BIG,81.00,82.50,110.5,262.4,89.00,8.00,,3.29,28.0,33.5,10,13.4%,9.25,9.00
Jerian Grant,2015,PG,75.25,76.25,100.0,198.0,79.50,4.25,,,,,,5.6%,8.25,8.50
Jermaine Boyette,2003,COMBO G,73.00,,96.0,187.0,76.00,3.00,,3.07,29.0,35.5,14,7.3%,,
Jermaine Taylor,2009,WING,75.50,76.75,101.0,207.4,80.75,5.25,,3.32,34.0,37.5,16,5.8%,,
Jermareo Davidson,2007,BIG,81.00,83.00,109.5,230.0,88.00,7.00,,3.53,27.0,30.0,7,6.9%,,
Jerome Beasley,2003,COMBO F,81.00,,107.0,237.0,84.50,3.50,,3.25,27.0,32.0,10,9.9%,,
Jerome Jordan,2010,BIG,83.50,84.75,113.0,244.2,89.25,5.75,,,,,,6.9%,9.00,10.25
Jerome Robinson,2018,WING,76.00,77.00,98.0,188.4,79.25,3.25,,,,,,6.1%,9.00,10.00
Jerry Green,2001,COMBO G,73.50,,99.0,179.0,78.25,4.75,,3.17,28.5,35.0,13,5.5%,,
Jerry Holman,2003,BIG,80.75,,109.5,232.0,87.25,6.50,,3.24,33.0,37.5,11,6.0%,,
Jerryd Bayless,2008,COMBO G,73.75,75.00,97.0,204.0,75.50,1.75,,3.07,31.0,38.0,10,4.7%,,
Jeryl Sasser,2001,COMBO G,77.50,,103.5,194.0,82.50,5.00,,3.22,29.0,34.0,1,6.7%,,
Jevon Carter,2018,PG,72.25,73.50,95.0,196.2,76.75,4.50,3.04,3.18,29.0,36.5,,4.2%,9.25,8.50
Jianlian Yi,2007,BIG,,,,,,,,,,,,,,
Jimmie Hunter,2000,COMBO G,75.00,,100.0,170.0,80.00,5.00,,3.35,29.0,36.0,0,,,
Jimmy Butler,2011,WING,78.00,79.75,101.5,222.2,79.50,1.50,,3.15,32.0,39.0,14,5.4%,9.00,9.00
Jiri Hubalek,2008,BIG,81.50,83.00,109.0,226.0,82.75,1.25,,3.54,20.5,26.0,2,8.8%,,
JJ Redick,2006,WING,76.00,76.75,97.5,190.0,75.25,-0.75,,3.29,27.5,33.0,6,7.0%,,
Joah Tucker,2006,WING,75.75,77.25,99.5,224.0,78.50,2.75,,3.31,29.0,34.0,19,7.0%,,
Joakim Noah,2007,BIG,82.00,84.00,106.5,223.0,85.25,3.25,,3.47,32.5,37.5,12,4.8%,,
Jobey Thomas,2002,WING,74.75,,99.5,183.0,77.75,3.00,,3.30,26.0,32.0,13,,,
Jodie Meeks,2009,WING,75.00,76.00,98.0,211.4,76.50,1.50,,3.10,28.5,37.0,14,8.0%,,
Joe Alexander,2008,COMBO F,79.25,80.25,106.0,220.0,83.50,4.25,,2.99,32.5,38.5,24,5.8%,,
Joe Crawford,2008,WING,75.00,76.00,99.5,213.0,77.75,2.75,,3.22,31.0,36.0,13,7.6%,,
Joe Harris,2014,WING,76.75,78.25,100.0,215.0,78.00,1.25,2.92,3.31,28.5,33.5,,6.2%,8.50,9.75
Joe Ingles,2009,WING,79.75,80.25,105.0,209.2,82.25,2.50,,3.30,26.0,31.0,3,10.1%,,
Joe Johnson,2001,WING,78.75,,105.0,226.0,81.00,2.25,,3.40,32.5,36.5,12,6.7%,,
Joe Shipp,2003,WING,76.00,,103.0,224.0,82.00,6.00,,3.20,29.0,34.5,17,11.7%,,
Joel Bolomboy,2016,BIG,79.50,81.00,103.5,224.4,85.75,6.25,2.86,3.17,37.5,40.5,,5.2%,9.00,10.25
Joel Cornette,2003,COMBO F,80.25,,105.5,239.0,81.25,1.00,,3.14,26.0,32.5,13,12.9%,,
Joey Dorsey,2008,BIG,78.25,79.25,107.0,265.0,85.75,7.50,,3.20,27.5,33.0,19,9.0%,,
Joey Graham,2005,WING,77.25,78.50,104.0,216.6,80.00,2.75,,3.05,30.0,36.0,26,,,
John Collins,2017,BIG,80.25,81.50,106.5,225.2,83.25,3.00,3.27,3.27,33.0,37.5,,5.4%,9.00,10.00
John Edwards,2004,BIG,83.25,85.00,113.0,264.0,88.50,5.25,,,,,15,14.1%,,
John Gilchrist,2005,PG,73.25,74.50,96.5,195.2,81.25,8.00,,3.15,30.5,36.5,12,,,
John Henson,2012,BIG,81.00,82.50,112.0,216.0,89.00,8.00,,,25.5,30.0,5,8.6%,9.25,10.00
John Jenkins,2012,WING,75.25,76.25,98.0,212.0,80.50,5.25,,3.37,30.5,36.5,10,7.1%,9.00,9.00
John Lucas III,2005,PG,69.25,70.50,92.0,154.4,72.00,2.75,,3.14,29.0,34.0,4,,,
John Riek,2008,BIG,82.50,84.00,,237.0,92.75,10.25,,,,,,11.0%,,
John Salmons,2002,WING,77.50,,104.0,207.0,82.25,4.75,,3.25,30.5,34.5,12,,,
John Wall,2010,PG,74.75,76.00,101.5,195.6,81.25,6.50,,3.14,30.0,39.0,,5.6%,8.25,9.50
Johnathan Motley,2017,BIG,79.75,80.75,108.0,238.2,88.00,8.25,,,,,,,9.00,9.50
Johnny Hemsley,2000,WING,74.75,,100.5,200.0,80.00,5.25,,3.19,31.5,35.0,5,,,
Johnny O'Bryant III,2014,BIG,79.25,80.50,105.0,256.8,86.25,7.00,3.32,3.45,31.0,35.5,,10.8%,9.25,9.50
Jon Diebler,2011,WING,77.25,78.50,99.0,196.6,78.00,0.75,,3.37,28.0,35.0,2,8.5%,8.25,8.25
Jon Leuer,2011,BIG,82.00,83.50,105.5,223.2,84.00,2.00,,3.36,29.5,36.5,14,5.4%,8.75,9.75
Jon Scheyer,2010,COMBO G,76.75,78.00,99.0,180.0,75.25,-1.50,,,,,,5.4%,7.75,9.50
Jonathan Holmes,2015,COMBO F,80.25,81.25,107.5,242.2,83.50,3.25,3.12,3.51,25.5,31.0,,7.2%,8.25,9.50
Jonathan Jeanne,2017,BIG,84.75,86.00,113.5,207.4,90.50,5.75,3.16,3.36,29.0,32.0,,8.7%,9.50,10.00
Jonny Flynn,2009,PG,71.25,72.75,95.5,195.6,76.00,4.75,,3.23,33.0,40.0,10,6.3%,,
Jontay Porter,2019,BIG,81.79,83.00,109.5,210.4,84.00,2.21,,,,,,8.5%,8.75,9.50
Jontay Porter 18,2018,BIG,82.00,83.50,109.0,236.0,84.25,2.25,3.06,3.40,25.5,31.0,,13.9%,8.75,9.50
Jordan Adams,2014,WING,75.50,76.75,102.0,208.8,82.00,6.50,3.05,3.50,24.5,29.5,,10.8%,8.50,7.50
Jordan Bachynski,2014,BIG,85.25,86.00,108.5,254.1,88.00,2.75,3.03,3.36,29.0,33.0,,7.5%,9.25,10.00
Jordan Bell,2017,BIG,79.00,80.50,104.5,223.6,83.75,4.75,2.83,3.21,31.5,38.0,,5.4%,9.25,9.50
Jordan Bone,2019,COMBO G,73.50,74.75,95.0,179.0,75.25,1.75,2.78,3.08,36.0,42.5,7,5.0%,7.50,9.25
Jordan Clarkson,2014,PG,75.25,77.00,98.0,186.3,80.00,4.75,2.98,3.28,33.0,38.5,,4.3%,8.25,9.00
Jordan Crawford,2010,WING,75.00,76.50,101.0,198.4,79.00,4.00,,3.37,31.5,34.5,7,4.9%,8.00,9.00
Jordan Farmar,2006,PG,72.75,74.00,94.5,171.0,75.00,2.25,,3.17,33.5,42.0,11,4.4%,,
Jordan Hamilton,2011,WING,78.75,80.50,104.0,228.4,81.50,2.75,,3.30,25.0,32.0,7,9.8%,9.00,9.25
Jordan Hill,2009,BIG,81.25,82.25,108.0,232.4,85.50,4.25,,3.30,31.0,35.0,11,6.0%,,
